"Sample.Name","Total.Processed.Reads","Classified.Reads","Total.Sample.Abundance","pc.classified"
"NEG_BUFFER_160921_1_R1",10584,3809,426.222014148885,0.359882842025699
"NEG_BUFFER_160921_1_R2",10584,3685,402.311293393983,0.348167044595616
"NEG_BUFFER_160921_2_R1",29644,10527,1161.4028208546,0.355114019700445
"NEG_BUFFER_160921_2_R2",29644,10292,1131.55521175426,0.347186614491971
"NEG_BUFFER_160921_3_R1",17104,6167,693.226433150889,0.360558933582788
"NEG_BUFFER_160921_3_R2",17104,6051,671.649255899443,0.353776894293732
"NEG_DNA_KIT_160919_2_R1",33669,12431,1388.90051170132,0.369212034809469
"NEG_DNA_KIT_160919_2_R2",33669,11955,1314.75304715506,0.355074400784104
"NEG_DNA_KIT_160919_R1",28972,10395,1167.34451997017,0.358794698329422
"NEG_DNA_KIT_160919_R2",28972,10131,1130.50029497361,0.349682452022643
"NEG_DNA_KIT_160920_R1",21224,7545,825.3400856017,0.355493780625707
"NEG_DNA_KIT_160920_R2",21224,7473,830.160316797431,0.352101394647569
"NEG_DNA_KIT_160921_R1",15128,5627,635.279144614654,0.371959280803808
"NEG_DNA_KIT_160921_R2",15128,5365,602.618149190292,0.354640401903755
"NEG_PBS_160921_R1",11171,3991,448.866627992403,0.357264345179483
"NEG_PBS_160921_R2",11171,3926,431.644088820727,0.351445707635843
"NEG_SWAB_160919_2_R1",23914,8513,930.528020073252,0.355983942460483
"NEG_SWAB_160919_2_R2",23914,8375,914.049342790656,0.350213264196705
"NEG_SWAB_160919_R1",19919,7066,796.102164591698,0.354736683568452
"NEG_SWAB_160919_R2",19919,6833,751.943203630116,0.343039309202269
"PCR_neg_control_02_R1",18123,6614,741.537107082184,0.364950615240302
"PCR_neg_control_02_R2",18123,6483,720.022585429569,0.357722231418639
"SP001_2_R1",8051076,3120498,360177.919626604,0.387587696352637
"SP001_2_R2",8051076,3083565,354886.687739844,0.383000359206645
"SP001_R1",5820772,2295263,270766.329768926,0.394322780552133
"SP001_R2",5820772,2224477,258517.102484748,0.382161850696093
"SP002_R1",4220403,1671015,194083.819115678,0.395937307408795
"SP002_R2",4220403,1626090,186921.876394875,0.385292589356988
"SP004_R1",10895388,4058987,453845.074382526,0.372541758035602
"SP004_R2",10895388,3948971,436907.572093488,0.362444274586642
"SP005_R1",19013,6795,763.066420071947,0.357387050965129
"SP005_R2",19013,6661,741.312068370638,0.350339241571556
"SP006_R1",5136304,1922349,219233.587530566,0.374266982639657
"SP006_R2",5136304,1877917,212215.103044631,0.365616404324978
"SP008_R1",7388098,2910334,330611.013656132,0.393921953931851
"SP008_R2",7388098,2841674,319648.829641303,0.384628628369575
"SP009_R1",6884421,2735190,316525.903043164,0.397301385258107
"SP009_R2",6884421,2656591,303335.041147603,0.3858844483799
"SP010_R1",9919297,3949572,455348.897362286,0.398170555836769
"SP010_R2",9919297,3853713,439626.63633033,0.388506665341304
"SP011_R1",5789986,2156667,245510.444771452,0.372482247798181
"SP011_R2",5789986,2096902,235379.462839811,0.362160115758484
"SP012_R1",8842638,3294538,380071.814112484,0.372574111933566
"SP012_R2",8842638,3264814,374464.023726531,0.369212671603203
"SP013_R1",7103368,2707839,302897.145903576,0.381204943908298
"SP013_R2",7103368,2629385,290623.266093266,0.370160323947739
"SP014_R1",6171772,2304718,259647.599459683,0.373428895299438
"SP014_R2",6171772,2245964,250308.722122733,0.363909100984288
"SP015_R1",3955444,1642919,186533.204670629,0.415356404995242
"SP015_R2",3955444,1611002,182086.431371477,0.407287272933203
"SP016_R1",7386815,2701884,312287.734068721,0.365771174721446
"SP016_R2",7386815,2640798,302249.455642317,0.35750157544219
"SP017_R1",5528769,2080476,246546.475230271,0.376300040750482
"SP017_R2",5528769,2010694,234896.900531426,0.363678424618572
"SP018_R1",6824963,2488760,275149.011105866,0.364655456740205
"SP018_R2",6824963,2426159,265575.448036348,0.355483099322297
"SP019_R1",11127465,4268449,484445.93920728,0.383595814500428
"SP019_R2",11127465,4142124,463893.842872801,0.372243273737549
"SP020_R1",6260052,2395537,277843.572928651,0.38267046344024
"SP020_R2",6260052,2327053,266669.107004656,0.371730618212117
"SP022_R1",6785720,2603676,301248.653684177,0.383699297937433
"SP022_R2",6785720,2541704,290889.285267564,0.374566589838661
"SP023_R1",23743,8772,974.925664453009,0.369456260792655
"SP023_R2",23743,8512,936.935880752494,0.358505664827528
"SP024_R1",12912375,4928011,560370.487778043,0.381650238627673
"SP024_R2",12912375,4782762,536222.939596915,0.370401417245085
"SP025_R1",6869385,2443248,283290.040090883,0.355672014306958
"SP025_R2",6869385,2381622,273290.156032901,0.346700905539579
"SP026_R1",8467013,3152459,357283.698518085,0.372322447125096
"SP026_R2",8467013,3089044,347726.189435359,0.364832792863316
"SP027_R1",22723,8487,961.202282042671,0.373498217664921
"SP027_R2",22723,8200,910.168168366861,0.360867843154513
"SP028_R1",8699831,3435982,398192.868627035,0.394948131751065
"SP028_R2",8699831,3351510,384021.877081947,0.385238517851669
"SP029_R1",8521599,3007287,337650.862630021,0.352901726542167
"SP029_R2",8521599,2943495,327122.083066697,0.345415807526264
"SP030_R1",4550024,1838067,210119.28402544,0.403968638407182
"SP030_R2",4550024,1787507,201699.752086747,0.392856609107996
"SP031_R1",7901678,2938910,324900.104257389,0.371934923189733
"SP031_R2",7901678,2860969,312774.98581421,0.362071068955227
"SP032_R1",8680225,3358053,379063.854090769,0.386862437321613
"SP032_R2",8680225,3265578,364271.630984964,0.376208911635355
"SP033_R1",5360338,1963432,216529.515491094,0.366288842233456
"SP033_R2",5360338,1938808,212566.67478448,0.361695102062594
"SP034_R1",5903792,2197285,251703.38469943,0.372181980665986
"SP034_R2",5903792,2172140,248098.148598088,0.367922853650671
"SP035_R1",5676266,2102682,238087.356979886,0.370434014191724
"SP035_R2",5676266,2078168,234127.732999903,0.366115330042672
"SP036_R1",14185481,5423677,617227.538484788,0.382340013708383
"SP036_R2",14185481,5350076,606296.156974424,0.377151539662279
"SP037_R1",7144965,2593653,286355.518898776,0.363004297431828
"SP037_R2",7144965,2567758,282027.472950873,0.359380066942245
"SP038_R1",10864760,4089562,451116.876366009,0.376406105611169
"SP038_R2",10864760,3985883,434999.611103842,0.366863418980263
"SP039_R1",6626920,2513552,283741.414920612,0.37929415173263
"SP039_R2",6626920,2479775,278945.969569869,0.374197213788608
"SP040_R1",14162241,5487340,630285.467009839,0.387462690403305
"SP040_R2",14162241,5349327,606550.832844054,0.377717551904391
"SP042_R1",5437085,1990614,228822.797302558,0.366117873823933
"SP042_R2",5437085,1952031,222957.211923785,0.35902160808595
"SP043_R1",15776004,6092799,708774.322790048,0.3862067352417
"SP043_R2",15776004,6013625,697089.403575419,0.381188100611536
"SP045_R1",3499106,1278135,142293.629705328,0.365274730173936
"SP045_R2",3499106,1241870,136676.614479631,0.354910654321418
